Knot1,Knot2,Variant
m004,m004,reverse
m004,m004,mirror
m004,m004,reverse_mirror
m004,t11898,identity
m004,t11898,reverse
m004,t11898,mirror
m004,t11898,reverse_mirror
m015,m015,reverse
m015,t10416,identity
m015,t10416,reverse
m016,m016,reverse
m053,m053,reverse
m053,v3169,identity
m053,v3169,reverse
m053,o9_38364,identity
m053,o9_38364,reverse
m071,m071,reverse
m074,m074,reverse
m074,m074,mirror
m074,m074,reverse_mirror
m074,s239,identity
m074,s239,reverse
m074,s239,mirror
m074,s239,reverse_mirror
m074,t11441,identity
m074,t11441,reverse
m074,t11441,mirror
m074,t11441,reverse_mirror
m082,m082,reverse
m094,m094,reverse
m094,s648,mirror
m094,s648,reverse_mirror
m094,v2001,mirror
m094,v2001,reverse_mirror
m094,v2743,mirror
m094,v2743,reverse_mirror
m094,o9_40547,mirror
m094,o9_40547,reverse_mirror
m103,m103,reverse
m118,m118,reverse
m144,m144,reverse
m194,m194,reverse
m198,m198,reverse
m199,m199,reverse
m199,o9_34801,mirror
m199,o9_34801,reverse_mirror
m201,m201,reverse
m201,m201,mirror
m201,m201,reverse_mirror
m201,v0321,identity
m201,v0321,reverse
m201,v0321,mirror
m201,v0321,reverse_mirror
m201,o9_34818,identity
m201,o9_34818,reverse
m201,o9_34818,mirror
m201,o9_34818,reverse_mirror
m211,m211,reverse
m223,m223,reverse
m224,m224,reverse
m224,v3093,mirror
m224,v3093,reverse_mirror
m224,t11814,mirror
m224,t11814,reverse_mirror
m239,m239,reverse
m240,m240,reverse
m270,m270,reverse
m276,m276,reverse
m281,m281,reverse
m289,m289,reverse
m340,m340,reverse
m389,m389,reverse
s016,s016,reverse
s016,s016,mirror
s016,s016,reverse_mirror
s016,s726,identity
s016,s726,reverse
s016,s726,mirror
s016,s726,reverse_mirror
s016,o9_34700,identity
s016,o9_34700,reverse
s016,o9_34700,mirror
s016,o9_34700,reverse_mirror
s023,s023,reverse
s023,o9_31990,identity
s023,o9_31990,reverse
s042,s042,reverse
s068,s068,reverse
s086,s086,reverse
s104,s104,reverse
s114,s114,reverse
s114,v0082,mirror
s114,v0082,reverse_mirror
s114,v2215,identity
s114,v2215,reverse
s188,s188,reverse
s188,t00027,identity
s188,t00027,reverse
s188,t05074,mirror
s188,t05074,reverse_mirror
s188,o9_16874,mirror
s188,o9_16874,reverse_mirror
s188,o9_22337,identity
s188,o9_22337,reverse
s188,o9_39339,identity
s188,o9_39339,reverse
s188,o9_41995,mirror
s188,o9_41995,reverse_mirror
s188,o9_42258,mirror
s188,o9_42258,reverse_mirror
s188,o9_43874,identity
s188,o9_43874,reverse
s194,s194,reverse
s194,s194,mirror
s194,s194,reverse_mirror
s239,s239,reverse
s239,s239,mirror
s239,s239,reverse_mirror
s239,t00017,identity
s239,t00017,reverse
s239,t00017,mirror
s239,t00017,reverse_mirror
s239,t11441,identity
s239,t11441,reverse
s239,t11441,mirror
s239,t11441,reverse_mirror
s239,t12679,identity
s239,t12679,reverse
s239,t12679,mirror
s239,t12679,reverse_mirror
s239,o9_00017,identity
s239,o9_00017,reverse
s239,o9_00017,mirror
s239,o9_00017,reverse_mirror
s239,o9_24293,identity
s239,o9_24293,reverse
s239,o9_24293,mirror
s239,o9_24293,reverse_mirror
s239,o9_37768,identity
s239,o9_37768,reverse
s239,o9_37768,mirror
s239,o9_37768,reverse_mirror
s294,s294,reverse
s301,s301,reverse
s308,s308,reverse
s336,s336,reverse
s336,o9_29766,identity
s336,o9_29766,reverse
s344,s344,reverse
s346,s346,reverse
s346,o9_38287,identity
s346,o9_38287,reverse
s367,s367,reverse
s369,s369,reverse
s384,s384,reverse
s385,s385,reverse
s407,s407,reverse
s451,s451,reverse
s451,o9_40291,mirror
s451,o9_40291,reverse_mirror
s526,s526,reverse
s558,s558,reverse
s560,s560,reverse
s580,s580,reverse
s580,t09927,mirror
s580,t09927,reverse_mirror
s580,o9_09408,identity
s580,o9_09408,reverse
s582,s582,reverse
s648,s648,reverse
s648,v2001,identity
s648,v2001,reverse
s648,v2743,identity
s648,v2743,reverse
s648,o9_40547,identity
s648,o9_40547,reverse
s652,s652,reverse
s665,s665,reverse
s682,s682,reverse
s684,s684,reverse
s726,s726,reverse
s726,s726,mirror
s726,s726,reverse_mirror
s726,o9_34700,identity
s726,o9_34700,reverse
s726,o9_34700,mirror
s726,o9_34700,reverse_mirror
s769,s769,reverse
s800,s800,reverse
s836,s836,reverse
s836,s836,mirror
s836,s836,reverse_mirror
s841,s841,reverse
s849,s849,reverse
s862,s862,reverse
s870,s870,reverse
s912,s912,reverse
s912,s912,mirror
s912,s912,reverse_mirror
s912,o9_40568,identity
s912,o9_40568,reverse
s912,o9_40568,mirror
s912,o9_40568,reverse_mirror
v0016,v0016,reverse
v0016,v0016,mirror
v0016,v0016,reverse_mirror
v0016,v2257,identity
v0016,v2257,reverse
v0016,v2257,mirror
v0016,v2257,reverse_mirror
v0016,o9_37795,identity
v0016,o9_37795,reverse
v0016,o9_37795,mirror
v0016,o9_37795,reverse_mirror
v0025,v0025,reverse
v0025,v2284,mirror
v0025,v2284,reverse_mirror
v0025,o9_33067,identity
v0025,o9_33067,reverse
v0025,o9_34323,mirror
v0025,o9_34323,reverse_mirror
v0025,o9_41611,identity
v0025,o9_41611,reverse
v0082,v0082,reverse
v0082,v2215,mirror
v0082,v2215,reverse_mirror
v0114,v0114,reverse
v0114,t12753,identity
v0114,t12753,reverse
v0165,v0165,reverse
v0220,v0220,reverse
v0220,t05425,identity
v0220,t05425,reverse
v0220,t09580,identity
v0220,t09580,reverse
v0220,o9_24407,mirror
v0220,o9_24407,reverse_mirror
v0223,v0223,reverse
v0249,v0249,reverse
v0319,v0319,reverse
v0321,v0321,reverse
v0321,v0321,mirror
v0321,v0321,reverse_mirror
v0321,o9_34818,identity
v0321,o9_34818,reverse
v0321,o9_34818,mirror
v0321,o9_34818,reverse_mirror
v0329,v0329,reverse
v0329,o9_23786,identity
v0329,o9_23786,reverse
v0329,o9_29669,mirror
v0329,o9_29669,reverse_mirror
v0330,v0330,reverse
v0398,v0398,reverse
v0407,v0407,reverse
v0407,o9_40052,identity
v0407,o9_40052,reverse
v0424,v0424,reverse
v0434,v0434,reverse
v0497,v0497,reverse
v0497,t05390,identity
v0497,t05390,reverse
v0521,v0521,reverse
v0521,v0521,mirror
v0521,v0521,reverse_mirror
v0535,v0535,reverse
